1,동주,흑백영화,일제시대,시인
1,살인의 추억,미제사건,경기도,봉준호
1,클래식,소나기,손예진,자전거탄풍경
1,그대를 사랑합니다,노인,웹툰,강풀
1,집으로,시골,할머니,유승호
1,죽은 시인의 사회,명문 고등학교,캡틴,카르페디엠
1,쇼생크 탈출,고전,교도소,탈출
1,터미네이터,스카이넷,로봇,I'll be back
1,매트릭스,현실과 가상,인공지능 AI,워쇼스키 남매
1,레옹,아저씨,마틸다,화분
1,나 홀로 집에,크리스마스,도둑,케빈
1,토이스토리,애니메이션,픽사,장난감
1,사운드 오브 뮤직,소리,외국 영화,음악
1,주토피아,토끼,늑대,애니메이션
1,반지의 제왕,판타지,원정대,골룸
1,해리포터,우정,고아,번개흉터
1,세 얼간이,뮤지컬,인도영화,바보
1,다크나이트,범죄,시리즈,박쥐
1,록키,실베스터 스탤론,스포츠 영화,복싱
1,트루먼 쇼,잼캐리,SF 코미디,TV 쇼
1,라따뚜이,음식,애니메이션,쥐
1,바람,학창시절,일진,짱구
1,말할 수 없는 비밀,주걸륜,학교,피아노
1,혹성탈출,동물실험,진화,유인원
1,도가니,실화,그릇,청각장애인학교
1,택시운전사,1000만 관객,송강호,광주
1,청년경찰,대학생,박서준,강하늘
1,장산범,메아리,부산,산
1,킹스맨,우산,슈트,왕의남자
1,스파이더맨,육각형,끈끈이,거미
2,구해줘,사이비종교,OCN,HELP
2,아내의 유혹,현모양처,요부,점
2,청춘시대,셰어하우스,여대생,청춘
2,오 나의 귀신님,식당,오나미,처녀귀신
2,별에서 온 그대,도민준,UFO,전지현
2,힘쎈여자 도봉순,박형식,괴력,박보영
2,개인의 취향,게이,이민호,개취
2,나인,20년 전,이진욱,9
2,인현왕후의 남자,시간여행,조선시대,왕후
2,구르미 그린 달빛,달,홍라온,박보검
2,개와 늑대의 시간,복수,짐승,개늑시
2,대장금,의녀,곶감,이영애
2,선덕여왕,신라,고현정,여왕
2,대조영,사극,발해,최수종
2,상속자들,하이틴,제국건설,재벌2세
2,야인시대,일제시대,장군의아들,김두한
2,너의 목소리가 들려,초능력,변호사,소리
2,커피프린스,꽃미남,남장,바리스타
2,피노키오,동화,진실,코
2,거침없이 하이킥,시트콤,고구마호박,나문희
2,논스톱,대학생,시트콤,GO
2,괜찮아 사랑이야,정신병원,심리치료,공효진
3,이효리,제주도 집,이상순,유고걸
3,유아인,이방원,시카고,어의가 없네
3,지코,대세,쇼미더머니,블락비
3,고소영,미인 점,루스톤,장동건
3,고현정,생얼 미인,고쇼,미실
3,김태희,예쁘다,서울대,정지훈
3,류준열,혜리,택시,어남류
3,손예진,청순녀,덕혜옹주,클래식
3,한가인,건축학개론,해품달,연정훈
3,전지현,생머리,차태현,별그대
3,문근영,동그란 눈,국민여동생,어린신부
3,송혜교,부동산 재벌,태양의후예,송중기
3,김혜수,존재감,타짜,정마담
3,보아,신동,SM엔터,아틀란티스소녀
3,고아라,배우,응4,성나정
3,원빈,잘생김,강원도,한발남았다
3,백현,SM,태연,EXO
3,비,JYP,월드스타,김태희
3,송강호,살인의 추억,국민배우,변호인
3,김민희,배우,아가씨,홍상수
3,장동건,신사의 품격,원빈 형,고소영
3,송민호,WINNER,아버지,신서유기
3,이나영,배우,소두,원빈
3,설리,리얼,최자,에프엑스
3,김종국,터보,근육,런닝맨
3,바다,뮤지컬,최성희,SES
3,공유,커피프린스,카누,도깨비
3,강동원,늑대의 유혹,검사외전,검은 사제들
3,박보검,잘생김,응8,구르미
3,이병헌,모히또에서 몰디브 한자,월드스타,이민정
3,송중기,착한 남자,태양의 후예,송혜교
3,공효진,패션이스트,프로듀사,모델포스
3,유승호,정변의 아이콘,군대,집으로
3,이영자,택시,힘,김영철
3,차오루,피에스타,만두,푸드트럭
3,제시카,타일러권,크리스탈,정수연
3,이민호,수지,푸른바다의 전설,구준표
3,김수현,복근,리얼,별그대
3,김재중,JYJ,동방신기,맨홀
3,찬열,SM,박유라, EXO
3,주원,굿다터,각시탈,제빵왕 김탁구
3,김수로,꼭지점 춤,흡혈형사,공부의 신
3,고수,잘생김,유부남,반창꼬
3,이종석,W,학교,너목들
3,이현우,박보검,공부의 신,귀염상
3,이정재,나는 왕이 될 상인가,신세계,밀정
3,조인성,발리,논스톱,더 킹
3,소지섭,군함도,회사원,주군의 태양
3,정채연,IOI,흰피부,다이아
3,김범수,가수,보고싶다,나가수
3,임시완,불한당,가르쳐주실 수 있잖아요,미생
3,김상중,투사부일체,그런데 말입니다,그것이 알고 싶다
3,권상우,달팽이 모자,사랑은 돌아오는 거야,말죽거리 잔혹사
3,황정음,결혼,하이킥,킬미 힐미
3,이승기,1박 2일,내 여자라니까,신서유기
3,도끼,돈자랑,더콰이엇,힙합
3,넉살,준우승,쇼미더머니,작두
3,박재범,2PM,SNL,AOMG
3,우원재,엄마,임마,알약
3,정우성,잘생긴 윤종신,더킹,비트
3,현빈,시크릿 가든,삼식이,친구
3,손나은,에이핑크,레깅스,손나 예뻐
3,공승연,갈색눈,육룡이 나르샤,정연
3,수지,건축학개론,드림하이,이민호
3,태연,우결,백현,소녀시대
3,윤아,사슴,긴목,소녀시대
3,효연,춤담당,눈썹,소녀시대
3,아이유,신봉선,달의 연인,좋은 날
3,구혜선,꽃보다 남자,안재현,작가
3,신민아,TOP,김우빈,구미호
4,비빔밥,한식대표,전주,세계화
4,불고기,한식,돼지,양념
4,삼겹살,오겹살,돼지,소주
4,후라이드 치킨,야식,닭,KFC
4,갈비찜,근육맨,소,짚신
4,냉면,존박,평양,함흥
4,국밥,부산,돼지,순대
4,쌈밥,한식,멸치,점심
4,된장찌개,다이나믹 듀오,두부,엄마
4,김치찌개,한식,돼지고기,참치
4,닭볶음탕,한식,고추장,도리탕
4,설렁탕,운수 좋은 날,서울깍두기,뽀얀국물
4,갈비탕,한식,보양식,가라탕
4,삼계탕,한식,보양식,복날
4,족발,야식,돼지,앞다리
4,보쌈,야식,김치,홍어
4,닭발,안주,한신포차,무뼈
4,곱창,안주,소주,전골
4,찜닭,한식,죠스,안동
